111*Everybody Wants To Rule The World*Tears For Fears*290,319
112*El Apagón*Bad Bunny*287,911
113*Un Coco*Bad Bunny*287,698
114*Chasin' You*Morgan Wallen*280,747
115*Flower Shops (feat. Morgan Wallen)*ERNEST*279,740
116*Bound 2*Kanye West*278,790
117*Dos Mil 16*Bad Bunny*278,514
118*When It Rains It Pours*Luke Combs*278,409
119*Count Me Out*Kendrick Lamar*276,709
120*Flashing Lights*Kanye West, Dwele*276,422
121*Heartless*Kanye West*275,982
122*Light Switch*Charlie Puth*275,708
123*Revenge*XXXTENTACION*275,549
124*Tek It*Cafuné*275,394
125*Better Days (NEIKED x Mae Muller x Polo G)*NEIKED*273,510
126*Dandelions*Ruth B.*273,466
127*10 Things I Hate About You*Leah Kate*270,678
128*abcdefu*GAYLE*270,633
129*Lucid Dreams*Juice WRLD*266,710
130*Bad Habits*Ed Sheeran*266,675
131*Happier Than Ever*Billie Eilish*266,358
132*Don't Think Jesus*Morgan Wallen*266,345
133*Fancy Like*Walker Hayes*264,469
134*Iris*The Goo Goo Dolls*262,426
135*Enséñame a Bailar*Bad Bunny*261,139
136*drivers license*Olivia Rodrigo*259,774
137*Vegas (From the Original Motion Picture Soundtrack ELVIS)*Doja Cat*258,220
138*Cover Me Up*Morgan Wallen*258,188
139*Party In The U.S.A.*Miley Cyrus*257,873
140*Circles*Post Malone*257,458
141*Me Fui de Vacaciones*Bad Bunny*257,278
142*Pepas*Farruko*256,597
143*NEW MAGIC WAND*Tyler, The Creator*256,564
144*Wagon Wheel*Darius Rucker*256,440
145*Me and Your Mama*Childish Gambino*254,461
146*Get Into It (Yuh)*Doja Cat*254,426
147*RAPSTAR*Polo G*253,992
148*7 Summers*Morgan Wallen*253,979
149*2055*Sleepy Hallow*253,520
150*Don't Stop Believin'*Journey*253,266
151*Wet Dreamz*J. Cole*250,188
152*The Motto*Tiësto, Ava Max*248,860
153*Freaks*Surf Curse*248,152
154*YKWIM?*Yot Club*247,594
155*Un Verano Sin Ti*Bad Bunny*246,144
